game_name,game_id,category_name,category_id,level_id,date,user_id,run_id,time
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-08-25T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-09-01T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-09-08T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-09-15T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-09-22T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-09-29T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-10-06T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-10-13T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-10-20T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-10-27T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-11-03T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-11-10T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-11-17T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-11-24T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-12-01T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-12-08T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-12-15T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-12-22T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Full Game,jdzryx32,None,2022-12-29T00:00:00,j92rd1n8,yl1q4erm,4323.89
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-08-25T00:00:00,j92rd1n8,zq913vxy,110.34
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-09-01T00:00:00,j92rd1n8,zq913vxy,110.34
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-09-08T00:00:00,j92rd1n8,zq913vxy,110.34
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-09-15T00:00:00,j92rd1n8,zq913vxy,110.34
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-09-22T00:00:00,j92rd1n8,zq913vxy,110.34
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-09-29T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-10-06T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-10-13T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-10-20T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-10-27T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-11-03T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-11-10T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-11-17T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-11-24T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-12-01T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-12-08T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-12-15T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-12-22T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 1: Marauder,02qe56j2,None,2022-12-29T00:00:00,j92rd1n8,y6x2476y,94.98
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-09-01T00:00:00,j92rd1n8,mrr1wr8m,210.26
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-09-08T00:00:00,j92rd1n8,mrr1wr8m,210.26
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-09-15T00:00:00,j92rd1n8,mrr1wr8m,210.26
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-09-22T00:00:00,j92rd1n8,mrr1wr8m,210.26
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-09-29T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-10-06T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-10-13T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-10-20T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-10-27T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-11-03T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-11-10T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-11-17T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-11-24T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-12-01T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-12-08T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-12-15T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-12-22T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 2, Widowmaker,9d85rz6d,None,2022-12-29T00:00:00,j92rd1n8,yjd2vkdy,203.66
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-09-08T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-09-15T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-09-22T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-09-29T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-10-06T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-10-13T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-10-20T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-10-27T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-11-03T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-11-10T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-11-17T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-11-24T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-12-01T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-12-08T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-12-15T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-12-22T00:00:00,j92rd1n8,zx8lpq8m,442.28
It's Still a Space Thing,nd28023d,Zone 3, Destructor,xd1w0z72,None,2022-12-29T00:00:00,j92rd1n8,zx8lpq8m,442.28
